,index,cidade_origem,sg_origem,cidade_destino,sg_destino,data,voos,Unnamed: 0,latitude,longitude
0,10054,GUARULHOS,SBGR,MADRID,LEMD,01/09/2019,1,14,40.416704700000004,-3.7035824999999996
1,10055,GUARULHOS,SBGR,MADRID,LEMD,01/10/2019,2,14,40.416704700000004,-3.7035824999999996
2,18710,RIO DE JANEIRO,SBGL,MADRID,LEMD,01/10/2019,1,14,40.416704700000004,-3.7035824999999996
3,20496,SALVADOR,SBSV,MADRID,LEMD,01/10/2019,1,14,40.416704700000004,-3.7035824999999996
4,10056,GUARULHOS,SBGR,MADRID,LEMD,02/09/2019,1,14,40.416704700000004,-3.7035824999999996
5,10057,GUARULHOS,SBGR,MADRID,LEMD,02/10/2019,2,14,40.416704700000004,-3.7035824999999996
6,18711,RIO DE JANEIRO,SBGL,MADRID,LEMD,02/10/2019,1,14,40.416704700000004,-3.7035824999999996
7,1079,BEIJING,ZBAA,MADRID,LEMD,02/10/2019,1,14,40.416704700000004,-3.7035824999999996
8,10058,GUARULHOS,SBGR,MADRID,LEMD,03/09/2019,1,14,40.416704700000004,-3.7035824999999996
9,20497,SALVADOR,SBSV,MADRID,LEMD,03/09/2019,1,14,40.416704700000004,-3.7035824999999996
10,10059,GUARULHOS,SBGR,MADRID,LEMD,03/10/2019,3,14,40.416704700000004,-3.7035824999999996
11,10060,GUARULHOS,SBGR,MADRID,LEMD,04/09/2019,1,14,40.416704700000004,-3.7035824999999996
12,18712,RIO DE JANEIRO,SBGL,MADRID,LEMD,04/10/2019,1,14,40.416704700000004,-3.7035824999999996
13,10061,GUARULHOS,SBGR,MADRID,LEMD,04/10/2019,2,14,40.416704700000004,-3.7035824999999996
14,10062,GUARULHOS,SBGR,MADRID,LEMD,05/09/2019,1,14,40.416704700000004,-3.7035824999999996
15,17353,RECIFE,SBRF,MADRID,LEMD,05/10/2019,1,14,40.416704700000004,-3.7035824999999996
16,10063,GUARULHOS,SBGR,MADRID,LEMD,05/10/2019,2,14,40.416704700000004,-3.7035824999999996
17,1080,BEIJING,ZBAA,MADRID,LEMD,05/10/2019,1,14,40.416704700000004,-3.7035824999999996
18,20498,SALVADOR,SBSV,MADRID,LEMD,05/10/2019,1,14,40.416704700000004,-3.7035824999999996
19,18713,RIO DE JANEIRO,SBGL,MADRID,LEMD,05/10/2019,1,14,40.416704700000004,-3.7035824999999996
20,225,AMSTERDAM,EHAM,MADRID,LEMD,05/10/2019,1,14,40.416704700000004,-3.7035824999999996
21,10064,GUARULHOS,SBGR,MADRID,LEMD,06/09/2019,1,14,40.416704700000004,-3.7035824999999996
22,18714,RIO DE JANEIRO,SBGL,MADRID,LEMD,06/10/2019,1,14,40.416704700000004,-3.7035824999999996
23,10065,GUARULHOS,SBGR,MADRID,LEMD,06/10/2019,3,14,40.416704700000004,-3.7035824999999996
24,10066,GUARULHOS,SBGR,MADRID,LEMD,07/09/2019,1,14,40.416704700000004,-3.7035824999999996
25,17354,RECIFE,SBRF,MADRID,LEMD,07/09/2019,1,14,40.416704700000004,-3.7035824999999996
26,10067,GUARULHOS,SBGR,MADRID,LEMD,07/10/2019,2,14,40.416704700000004,-3.7035824999999996
27,18715,RIO DE JANEIRO,SBGL,MADRID,LEMD,07/10/2019,1,14,40.416704700000004,-3.7035824999999996
28,10068,GUARULHOS,SBGR,MADRID,LEMD,08/10/2019,3,14,40.416704700000004,-3.7035824999999996
