,cidade_origem,sg_origem,cidade_destino,sg_destino,data,voos
0,AB DHABI INTERNATIONAL,OMAA,GUARULHOS,SBGR,07/10/2019,1
1,AGUADILLA,TJBQ,AMSTERDAM,EHAM,01/10/2019,1
2,AGUADILLA,TJBQ,AMSTERDAM,EHAM,02/10/2019,1
3,AGUADILLA,TJBQ,AMSTERDAM,EHAM,05/10/2019,3
4,AGUADILLA,TJBQ,AMSTERDAM,EHAM,06/10/2019,1
5,AGUADILLA,TJBQ,AMSTERDAM,EHAM,09/10/2019,2
6,AGUADILLA,TJBQ,AMSTERDAM,EHAM,11/10/2019,1
7,AGUADILLA,TJBQ,AMSTERDAM,EHAM,12/10/2019,2
8,AGUADILLA,TJBQ,AMSTERDAM,EHAM,13/10/2019,1
9,AGUADILLA,TJBQ,AMSTERDAM,EHAM,15/10/2019,1
10,AGUADILLA,TJBQ,AMSTERDAM,EHAM,17/10/2019,1
11,AGUADILLA,TJBQ,AMSTERDAM,EHAM,18/10/2019,1
12,AGUADILLA,TJBQ,AMSTERDAM,EHAM,19/10/2019,2
13,AGUADILLA,TJBQ,AMSTERDAM,EHAM,20/10/2019,1
14,AGUADILLA,TJBQ,AMSTERDAM,EHAM,23/10/2019,2
15,AGUADILLA,TJBQ,AMSTERDAM,EHAM,25/10/2019,1
16,AGUADILLA,TJBQ,AMSTERDAM,EHAM,26/10/2019,2
17,AGUADILLA,TJBQ,AMSTERDAM,EHAM,28/10/2019,1
18,AGUADILLA,TJBQ,AMSTERDAM,EHAM,29/10/2019,1
19,AGUADILLA,TJBQ,AMSTERDAM,EHAM,31/10/2019,1
20,AGUADILLA,TJBQ,CAMPINAS,SBKP,07/10/2019,1
21,AGUADILLA,TJBQ,CAMPINAS,SBKP,14/10/2019,1
22,AGUADILLA,TJBQ,CAMPINAS,SBKP,21/10/2019,1
23,AGUADILLA,TJBQ,CAMPINAS,SBKP,28/10/2019,1
24,AGUADILLA,TJBQ,MENPHIS,KMEM,06/10/2019,1
25,AGUADILLA,TJBQ,MENPHIS,KMEM,13/10/2019,1
26,AGUADILLA,TJBQ,MENPHIS,KMEM,20/10/2019,1
27,AGUADILLA,TJBQ,MENPHIS,KMEM,27/10/2019,1
28,ALMEIRIM,SBMD,ALMEIRIM,SNYA,02/10/2019,1
29,ALMEIRIM,SBMD,ALMEIRIM,SNYA,04/10/2019,1
